step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.45,8192,0.00000000e+00,9.260355,,1.674017,18180.09,6459.04
0,1.84,8192,0.00000000e+00,,9.268405,,4455.15,6459.04
40,11.17,335872,1.95121951e-04,5.189742,,0.977844,30073.39,6918.13
80,20.55,663552,3.90243902e-04,3.676624,,0.620591,32295.60,6918.18
120,30.07,991232,5.85365854e-04,3.216379,,0.635092,32965.26,6921.12
160,39.48,1318912,7.80487805e-04,3.027130,,0.594089,33410.75,6921.12
200,48.79,1646592,9.75609756e-04,2.954503,,0.563579,33745.68,6921.12
240,58.12,1974272,9.99199357e-04,2.759700,,0.487376,33970.18,6921.12
256,63.28,2105344,9.98300589e-04,,2.723921,,33271.52,6921.12
280,68.88,2301952,9.96327494e-04,2.492654,,0.518655,33418.35,6921.12
320,78.21,2629632,9.91381413e-04,2.510010,,0.512552,33624.47,6921.12
360,87.55,2957312,9.84384099e-04,2.570082,,0.465770,33776.90,6921.12
400,96.90,3284992,9.75368072e-04,2.350700,,0.452050,33900.86,6921.13
440,106.22,3612672,9.64375232e-04,2.316383,,0.445751,34009.70,6921.13
480,115.60,3940352,9.51456665e-04,2.290117,,0.438716,34087.30,6921.13
512,124.47,4202496,9.39775339e-04,,2.346264,,33763.12,6921.13
520,126.36,4268032,9.36672408e-04,2.440025,,0.437807,33777.03,6921.13
560,135.69,4595712,9.20091168e-04,2.343970,,0.425178,33869.64,6921.13
600,145.03,4923392,9.01790003e-04,2.284067,,0.482447,33946.95,6921.13
640,154.36,5251072,8.81853964e-04,2.119085,,0.425128,34017.81,6921.13
680,163.71,5578752,8.60375700e-04,2.227532,,0.431891,34077.85,6921.13
720,173.05,5906432,8.37455026e-04,2.153227,,0.433788,34131.49,6921.13
760,182.38,6234112,8.13198463e-04,1.993132,,0.401874,34182.25,6922.83
768,185.67,6299648,8.08196660e-04,,2.157520,,33929.27,6922.83
800,193.16,6561792,7.87718737e-04,2.140134,,0.417180,33970.86,6922.83
840,202.50,6889472,7.61134261e-04,2.195409,,0.430368,34021.85,6922.83
880,211.84,7217152,7.33568580e-04,2.180366,,0.412709,34068.71,6922.83
920,221.18,7544832,7.05149800e-04,1.968494,,0.411194,34112.26,6922.83
960,230.51,7872512,6.76009993e-04,2.062602,,0.395615,34152.01,6922.83
1000,239.84,8200192,6.46284580e-04,1.994744,,0.445944,34189.59,6922.83
1024,246.86,8396800,6.28225614e-04,,2.021947,,34014.13,6922.83
1040,250.62,8527872,6.16111703e-04,2.090458,,0.394005,34027.44,6922.83
1080,259.94,8855552,5.85631585e-04,1.962746,,0.407089,34067.05,6922.83
1120,269.28,9183232,5.54985877e-04,1.989349,,0.401601,34103.24,6922.83
1160,278.61,9510912,5.24316997e-04,1.903666,,0.420997,34136.87,6922.83
1200,287.94,9838592,4.93767474e-04,1.962172,,0.395423,34169.26,6922.83
1240,297.29,10166272,4.63479281e-04,1.897112,,0.388286,34197.00,6922.83
1280,306.62,10493952,4.33593176e-04,1.869460,,0.382325,34224.62,6922.83
1280,308.05,10493952,4.33593176e-04,,1.915343,,34065.66,6922.83
1320,317.39,10821632,4.04248048e-04,1.905609,,0.387548,34095.72,6922.83
1360,326.74,11149312,3.75580273e-04,1.860957,,0.377780,34122.56,6922.83
1400,336.07,11476992,3.47723079e-04,1.750742,,0.366442,34150.58,6922.83
1440,345.43,11804672,3.20805927e-04,1.876919,,0.385172,34174.26,6922.83
1480,354.75,12132352,2.94953909e-04,1.901946,,0.382372,34199.39,6922.83
1520,364.08,12460032,2.70287166e-04,1.882646,,0.378847,34223.03,6922.83
1536,369.24,12591104,2.60778222e-04,,1.841679,,34100.06,6922.83
1560,374.85,12787712,2.46920334e-04,1.825977,,0.373718,34113.94,6922.83
1600,384.34,13115392,2.24962004e-04,1.766415,,0.379214,34124.42,6922.83
1640,393.85,13443072,2.04514223e-04,1.780391,,0.362405,34132.69,6922.83
1680,403.43,13770752,1.85672018e-04,1.842037,,0.379095,34133.84,6922.83
1720,412.80,14098432,1.68522956e-04,1.925995,,0.391938,34152.91,6922.83
1760,422.43,14426112,1.53146731e-04,1.689803,,0.368211,34150.18,6922.83
1792,431.60,14688256,1.42170501e-04,,1.787022,,34032.20,6922.83
1800,433.55,14753792,1.39614804e-04,1.824409,,0.373146,34030.00,6922.83
1840,443.14,15081472,1.27990060e-04,1.814339,,0.384231,34033.09,6922.83
1880,452.72,15409152,1.18326523e-04,1.758986,,0.372289,34036.67,6922.83
1920,462.51,15736832,1.10669103e-04,1.774691,,0.376208,34025.15,6922.83
1960,472.19,16064512,1.05053385e-04,1.788385,,0.386732,34021.02,6922.83
2000,481.66,16392192,1.01505469e-04,1.814085,,0.379568,34032.44,6922.83
2040,492.06,16719872,1.00041841e-04,1.725194,,0.385761,33979.38,6922.83
2047,495.36,16777216,1.00000654e-04,,1.756102,,33868.64,6922.83
