step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.44,8192,0.00000000e+00,9.260355,,1.674017,18489.10,6459.04
0,1.83,8192,0.00000000e+00,,9.268405,,4470.31,6459.04
160,39.49,1318912,1.95360195e-04,3.582261,,0.891688,33394.53,6921.12
320,76.73,2629632,3.90720391e-04,2.763147,,0.615650,34272.60,6921.12
480,114.03,3940352,5.86080586e-04,2.481316,,0.569408,34555.17,6921.13
640,153.36,5251072,7.81440781e-04,2.267107,,0.493482,34239.48,6921.13
800,191.55,6561792,9.76800977e-04,2.313105,,0.492126,34256.70,6922.83
960,228.73,7872512,9.99188102e-04,2.210675,,0.470337,34418.46,6922.83
1024,245.04,8396800,9.98284363e-04,,2.165467,,34267.26,6922.83
1120,267.33,9183232,9.96304005e-04,2.139017,,0.425618,34351.81,6922.83
1280,304.50,10493952,9.91346361e-04,2.001701,,0.412867,34463.31,6922.83
1440,342.10,11804672,9.84338204e-04,2.012728,,0.408438,34506.61,6922.83
1600,379.50,13115392,9.75312094e-04,1.912381,,0.402750,34559.66,6922.83
1760,417.20,14426112,9.64309966e-04,1.854374,,0.368849,34578.21,6922.83
1920,454.52,15736832,9.51382937e-04,1.912952,,0.369877,34623.30,6922.83
2048,485.85,16785408,9.39695452e-04,,1.882131,,34548.49,6922.83
2080,493.87,17047552,9.36591067e-04,1.896261,,0.365037,34518.13,7367.63
2240,531.79,18358272,9.20003079e-04,1.749381,,0.338447,34521.36,7369.96
2400,569.46,19668992,9.01696042e-04,1.840229,,0.339120,34539.83,7369.96
2560,607.07,20979712,8.81755010e-04,1.796304,,0.344138,34559.03,7369.96
2720,644.44,22290432,8.60272631e-04,1.786406,,0.328913,34588.72,7369.96
2880,681.70,23601152,8.37348713e-04,1.800421,,0.309315,34620.83,7369.96
3040,719.14,24911872,8.13089761e-04,1.767431,,0.328576,34641.39,7369.96
3072,727.96,25174016,8.08087581e-04,,1.745765,,34581.67,7369.96
3200,757.89,26222592,7.87608483e-04,1.861565,,0.322077,34599.63,7369.96
3360,795.11,27533312,7.61023266e-04,1.688803,,0.314408,34628.36,7369.96
3520,832.49,28844032,7.33457627e-04,1.594835,,0.305198,34648.06,7369.96
3680,870.11,30154752,7.05039636e-04,1.592390,,0.309982,34656.38,7369.96
3840,907.76,31465472,6.75901324e-04,1.726695,,0.312525,34662.80,7369.96
4000,945.19,32776192,6.46178070e-04,1.602894,,0.306569,34676.80,7369.96
4096,969.11,33562624,6.28120699e-04,,1.647911,,34632.32,7369.96
4160,984.76,34086912,6.16007969e-04,1.614038,,0.306330,34614.60,7369.96
4320,1022.28,35397632,5.85531191e-04,1.625869,,0.304568,34626.09,7369.96
4480,1059.62,36708352,5.54889335e-04,1.548129,,0.301447,34642.86,7369.96
4640,1097.14,38019072,5.24224762e-04,1.667600,,0.315896,34652.90,7369.96
4800,1134.38,39329792,4.93679943e-04,1.560926,,0.296613,34670.86,7369.96
4960,1171.67,40640512,4.63396788e-04,1.492102,,0.299448,34686.11,7369.96
5120,1208.88,41951232,4.33515996e-04,1.512014,,0.286352,34702.59,7369.96
5120,1210.31,41951232,4.33515996e-04,,1.574818,,34661.57,7369.96
5280,1247.54,43261952,4.04176393e-04,1.543835,,0.303937,34677.92,7369.96
5440,1284.75,44572672,3.75514292e-04,1.493918,,0.288930,34693.56,7369.96
5600,1321.97,45883392,3.47662859e-04,1.486833,,0.294901,34708.22,7369.96
5760,1359.20,47194112,3.20751493e-04,1.483276,,0.303533,34721.86,7369.96
5920,1396.59,48504832,2.94905225e-04,1.436005,,0.285365,34731.01,7369.96
6080,1434.27,49815552,2.70244137e-04,1.433121,,0.301165,34732.35,7369.96
6144,1450.94,50339840,2.60737416e-04,,1.508241,,34694.73,7369.96
6240,1474.31,51126272,2.46882807e-04,1.507043,,0.298939,34678.21,7370.55
6400,1512.31,52436992,2.24929772e-04,1.486015,,0.310386,34673.41,7370.55
6560,1549.71,53747712,2.04487026e-04,1.416504,,0.298723,34682.35,7370.55
6720,1587.32,55058432,1.85649547e-04,1.460753,,0.300286,34686.35,7370.55
6880,1624.65,56369152,1.68504856e-04,1.514866,,0.309323,34696.14,7370.55
7040,1662.11,57679872,1.53132606e-04,1.442705,,0.303941,34702.89,7370.55
7168,1693.69,58728448,1.42159245e-04,,1.460761,,34674.81,7370.55
7200,1701.33,58990592,1.39604219e-04,1.454328,,0.302014,34673.21,7370.55
7360,1738.83,60301312,1.27982548e-04,1.526671,,0.306477,34679.21,7370.55
7520,1776.77,61612032,1.18321586e-04,1.456432,,0.321139,34676.34,7370.55
7680,1814.20,62922752,1.10666220e-04,1.454510,,0.317110,34683.40,7370.55
7840,1851.68,64233472,1.05052017e-04,1.439660,,0.302209,34689.21,7370.55
8000,1889.30,65544192,1.01505061e-04,1.372365,,0.300855,34692.38,7370.55
8160,1926.69,66854912,1.00041830e-04,1.428636,,0.312647,34699.34,7370.55
8191,1935.41,67108864,1.00000041e-04,,1.437684,,34674.25,7370.55
