step,wall_time,tokens_processed,lr,train_loss,val_loss,grad_norm,tokens_per_second,peak_memory_mib
0,0.32,8192,0.00000000e+00,9.282522,,1.159776,25788.15,3904.80
0,0.99,8192,0.00000000e+00,,9.275681,,8236.01,3904.80
160,19.61,1318912,1.95360195e-04,4.125396,,0.559302,67272.33,4089.24
320,38.35,2629632,3.90720391e-04,3.058793,,0.729422,68569.01,4089.24
480,57.04,3940352,5.86080586e-04,2.674172,,0.493545,69081.97,4089.49
640,75.97,5251072,7.81440781e-04,2.432314,,0.461317,69119.05,4089.49
800,94.93,6561792,9.76800977e-04,2.453265,,0.468994,69120.09,4089.49
960,113.63,7872512,9.99188102e-04,2.325160,,0.460214,69279.86,4089.49
1024,121.79,8396800,9.98284363e-04,,2.265406,,68945.41,4089.49
1120,133.06,9183232,9.96304005e-04,2.236866,,0.425861,69014.89,4089.49
1280,151.81,10493952,9.91346361e-04,2.079079,,0.406710,69125.74,4089.55
1440,170.51,11804672,9.84338204e-04,2.100385,,0.415046,69233.27,4089.55
1600,189.28,13115392,9.75312094e-04,1.975879,,0.423157,69291.81,4089.55
1760,208.00,14426112,9.64309966e-04,1.907058,,0.377447,69355.45,4089.55
1920,226.73,15736832,9.51382937e-04,1.984928,,0.396634,69408.90,4089.55
2048,242.40,16785408,9.39695452e-04,,1.948705,,69247.91,4089.55
2080,246.34,17047552,9.36591067e-04,1.988943,,0.410922,69202.57,4263.93
2240,265.49,18358272,9.20003079e-04,1.823539,,0.363692,69149.55,4264.43
2400,284.55,19668992,9.01696042e-04,1.896289,,0.359461,69124.06,4264.71
2560,303.28,20979712,8.81755010e-04,1.864368,,0.381715,69175.70,4264.75
2720,322.01,22290432,8.60272631e-04,1.859166,,0.369906,69222.24,4264.75
2880,340.76,23601152,8.37348713e-04,1.867956,,0.356327,69260.68,4264.78
3040,359.50,24911872,8.13089761e-04,1.849534,,0.371348,69295.48,4264.78
3072,363.93,25174016,8.08087581e-04,,1.823241,,69172.41,4264.78
3200,378.92,26222592,7.87608483e-04,1.948246,,0.370422,69203.31,4264.78
3360,397.66,27533312,7.61023266e-04,1.770196,,0.358806,69238.71,4265.40
3520,416.44,28844032,7.33457627e-04,1.672019,,0.342612,69263.79,4265.40
3680,435.18,30154752,7.05039636e-04,1.645282,,0.355924,69292.24,4265.40
3840,453.91,31465472,6.75901324e-04,1.819006,,0.364790,69321.42,4265.40
4000,472.64,32776192,6.46178070e-04,1.694059,,0.358920,69347.36,4265.40
4096,484.55,33562624,6.28120699e-04,,1.734508,,69266.06,4265.40
4160,492.20,34086912,6.16007969e-04,1.698215,,0.361065,69253.59,4265.40
4320,510.92,35397632,5.85531191e-04,1.708806,,0.357847,69282.31,4265.40
4480,529.62,36708352,5.54889335e-04,1.634770,,0.351779,69310.59,4265.40
4640,548.35,38019072,5.24224762e-04,1.765705,,0.365041,69333.85,4265.40
4800,567.08,39329792,4.93679943e-04,1.647462,,0.347892,69354.49,4265.40
4960,585.80,40640512,4.63396788e-04,1.586821,,0.355095,69376.04,4265.40
5120,604.52,41951232,4.33515996e-04,1.607226,,0.347317,69396.29,4265.40
5120,605.20,41951232,4.33515996e-04,,1.666045,,69317.50,4265.40
5280,623.95,43261952,4.04176393e-04,1.622104,,0.357521,69335.32,4265.40
5440,642.71,44572672,3.75514292e-04,1.584747,,0.349156,69351.36,4265.40
5600,661.45,45883392,3.47662859e-04,1.578828,,0.357209,69368.28,4265.40
5760,680.22,47194112,3.20751493e-04,1.571104,,0.360610,69380.75,4265.40
5920,698.98,48504832,2.94905225e-04,1.531696,,0.347030,69394.11,4265.40
6080,717.75,49815552,2.70244137e-04,1.537104,,0.361563,69405.30,4265.40
6144,725.95,50339840,2.60737416e-04,,1.608202,,69343.43,4265.40
6240,737.36,51126272,2.46882807e-04,1.601791,,0.359710,69336.76,4265.40
6400,756.73,52436992,2.24929772e-04,1.596807,,0.374167,69294.55,4265.40
6560,775.94,53747712,2.04487026e-04,1.525093,,0.360402,69267.66,4265.40
6720,794.69,55058432,1.85649547e-04,1.569790,,0.361842,69282.87,4265.40
6880,813.45,56369152,1.68504856e-04,1.623342,,0.367995,69296.70,4265.40
7040,832.19,57679872,1.53132606e-04,1.547748,,0.373537,69310.69,4265.40
7168,847.89,58728448,1.42159245e-04,,1.566625,,69264.32,4265.40
7200,851.63,58990592,1.39604219e-04,1.565253,,0.367643,69267.66,4265.40
7360,870.36,60301312,1.27982548e-04,1.638713,,0.374428,69283.18,4265.40
7520,889.11,61612032,1.18321586e-04,1.569006,,0.386725,69296.51,4265.40
7680,907.84,62922752,1.10666220e-04,1.564991,,0.381535,69310.09,4265.40
7840,926.54,64233472,1.05052017e-04,1.560416,,0.375769,69326.19,4265.40
8000,945.26,65544192,1.01505061e-04,1.479329,,0.363928,69340.06,4265.40
8160,963.96,66854912,1.00041830e-04,1.540760,,0.376398,69354.29,4265.40
8191,968.27,67108864,1.00000041e-04,,1.546922,,69307.77,4265.40
