step,wall_time,train_loss,val_loss
0,0.19,9.262857,
0,0.36,,9.266675
50,2.01,4.225088,
100,3.64,3.695587,
150,5.43,3.469070,
200,7.24,3.231283,
250,9.02,3.322564,
300,10.78,2.849037,
350,12.52,2.735256,
400,14.18,2.867561,
450,15.85,3.118993,
