step,wall_time,train_loss,val_loss
0,0.18,9.270884,
0,0.29,,9.268796
50,1.43,4.626177,
100,2.54,4.018840,
150,3.64,3.842260,
200,4.81,3.601696,
250,6.02,3.421017,
300,7.32,3.551434,
350,8.60,3.056506,
400,9.86,2.930667,
450,11.16,2.994505,
