step,wall_time,train_loss,val_loss
0,0.31,9.290651,
0,1.00,,9.291216
50,6.98,4.198025,
100,12.96,3.591780,
150,18.89,3.155398,
200,24.92,3.033240,
250,31.07,2.846558,
300,37.30,2.606266,
350,43.56,2.626976,
400,49.45,2.467898,
450,55.32,2.477097,
