step,wall_time,train_loss,val_loss
0,2.41,9.245406,
0,5.79,,9.244720
50,56.54,3.940415,
100,114.59,3.167114,
150,163.24,2.800358,
200,212.01,2.640872,
250,262.32,2.494023,
300,310.93,2.307657,
350,357.11,2.304168,
400,403.23,2.204803,
450,449.76,2.209640,
