step,wall_time,train_loss,val_loss
0,0.32,9.253666,
0,1.06,,9.255931
50,7.27,5.417417,
100,13.49,3.827580,
150,19.76,3.455188,
200,26.02,3.112144,
250,32.25,2.815456,
300,38.55,2.664283,
350,44.84,2.656783,
400,51.20,2.584937,
450,57.60,2.481327,
500,63.97,2.420467,
500,64.72,,2.491337
550,71.13,2.460801,
600,77.49,2.393065,
650,83.83,2.285198,
700,90.23,2.302598,
750,96.61,2.207774,
800,102.99,2.260015,
850,109.39,2.190671,
900,115.77,2.211159,
950,122.13,2.277966,
1000,128.51,2.093122,
1000,129.25,,2.118810
1050,135.62,2.040364,
1100,142.00,1.976603,
1150,148.37,2.008425,
1200,154.83,2.020890,
1250,161.17,1.951815,
1300,167.53,2.004410,
1350,173.87,1.933258,
1400,180.20,1.866826,
1450,186.55,1.960300,
1500,192.90,1.910478,
1500,193.64,,1.934295
1550,199.97,1.829391,
1600,206.33,1.997936,
1650,212.67,1.953908,
1700,219.01,1.945498,
1750,225.37,1.823731,
1800,231.74,1.955021,
1850,238.07,1.935472,
1900,244.41,1.880642,
1950,250.75,1.891225,
