step,wall_time,train_loss,val_loss
0,0.31,9.252388,
0,1.00,,9.253543
50,6.99,8.490814,
100,12.99,6.713987,
150,19.02,5.414727,
200,25.03,4.642611,
250,31.04,4.294478,
300,37.02,3.987641,
350,42.94,3.707715,
400,48.91,3.649692,
450,54.85,3.429196,
500,60.77,3.432073,
500,61.46,,3.358115
550,67.42,3.163588,
600,73.36,3.144361,
650,79.28,3.111241,
700,85.20,3.264473,
750,91.12,3.052510,
800,97.01,3.073740,
850,102.95,2.972679,
900,108.94,3.039596,
950,114.87,2.883021,
1000,120.75,2.847015,
1000,121.44,,2.905275
1050,127.37,2.878785,
1100,133.27,2.932873,
1150,139.14,2.918690,
1200,145.04,2.699283,
1250,150.95,2.730492,
1300,156.83,2.716011,
1350,162.72,2.686688,
1400,168.64,2.701546,
1450,174.54,2.914239,
1500,180.42,2.726838,
1500,181.11,,2.759178
1550,187.03,2.680516,
1600,192.94,2.798945,
1650,198.81,2.722732,
1700,204.71,2.599143,
1750,210.61,2.785879,
1800,216.49,2.656310,
1850,222.36,2.681350,
1900,228.26,2.700652,
1950,234.13,2.645635,
