step,wall_time,train_loss,val_loss
0,0.34,9.250222,
0,1.08,,9.250558
50,7.46,4.369400,
100,13.85,3.514331,
150,20.18,3.193776,
200,26.50,3.016377,
250,32.83,2.758343,
300,39.16,2.763120,
350,45.49,2.753671,
400,51.82,2.547292,
450,58.13,2.483340,
500,64.47,2.544032,
500,65.21,,2.533026
550,71.54,2.432048,
600,77.87,2.457411,
650,84.21,2.389733,
700,90.53,2.255037,
750,96.88,2.374794,
800,103.20,2.393035,
850,109.56,2.333826,
900,115.89,2.093906,
950,122.21,2.323834,
1000,128.55,2.184304,
1000,129.30,,2.165826
1050,135.61,2.110780,
1100,141.93,2.099496,
1150,148.26,2.084402,
1200,154.58,1.977142,
1250,160.90,1.985577,
1300,167.24,2.118704,
1350,173.58,2.123093,
1400,179.89,2.049310,
1450,186.23,1.963954,
1500,192.57,2.052440,
1500,193.31,,1.977206
1550,199.61,2.126518,
1600,205.94,1.929201,
1650,212.25,2.027007,
1700,218.56,1.957699,
1750,224.87,1.972158,
1800,231.18,2.035548,
1850,237.48,1.925057,
1900,243.77,1.911189,
1950,250.07,2.060398,
